"","column_name","eights"
"480","HAN4JS",8
"481","HAN4KS",888
"482","HAN4KS",8
"483","HAN4LS",8
"484","HAN4LS",888
"485","HAN5AS",8
"486","HAN5AS",888
"487","HAN5BS",8
"488","HAN5BS",888
"489","HAN5CS",8
"490","HAN5CS",888
"491","HAN5DS",888
"492","HAN5DS",8
"493","HAN5ES",8
"494","HAN5ES",888
"495","HAN5FS",8
"496","HAN5FS",888
"497","HAN5GS",8
"498","HAN5GS",888
"499","HAN5HS",888
"500","HAN5HS",8
"501","HAN5IS",8
"502","HAN5IS",888
"503","HAN5JS",8
"504","HAN5JS",888
"505","HAN5KS",8
"506","HAN5KS",888
"507","HAN5LS",8
"508","HAN5LS",888
"509","HAN6AS",8
"510","HAN6AS",8888
"511","HAN6BS",8
"512","HAN6BS",888
"513","HAN6CS",8
"514","HAN6CS",8888
"515","HAN6DS",888
"516","HAN6DS",8
"517","HAN6ES",8
"518","HAN6ES",8888
"519","HAN6FS",8
"520","HAN6FS",8888
"521","HAN6GS",8
"522","HAN6GS",8888
"523","HAN6HS",8
"524","HAN6HS",888
"525","HAN6IS",8
"526","HAN6IS",888
"527","HAN6JS",888
"528","HAN6JS",8
"529","HAN7AS",888
"530","HAN7AS",8
"531","HAN7BS",8
"532","HAN7BS",888
"533","HAN7CS",8
"534","HAN7CS",888
"535","HAN8",8
"536","HAN8ACD",8
"537","HAN8ACD",88
"538","HAN8AS",8888
"539","HAN8AS",8
"540","HAN8BCD",8
"541","HAN8BCD",88
"542","HAN8BS",8888
"543","HAN8BS",8
"544","HAN8CCD",88
"545","HAN8CCD",8
"546","HAN8CS",888
"547","HAN8DCD",88
"548","HAN8DCD",8
"549","HAN8DS",888
"550","HAN8ECD",88
"551","HAN8ES",888
"552","HAN8FCD",88
"553","HAN8FCD",8
"554","HAN8FS",888
"555","HAN9",NA
"556","HAP1",8
"557","HAP10",8
"558","HAP10A",8
"559","HAP11",8
"560","HAP12",8
"561","HAP13",8
"562","HAP14",8
"563","HAP15",8
"564","HAP16",NA
"565","HAP17A1",8
"566","HAP17A2",8
"567","HAP17A3",8
"568","HAP17B",8
"569","HAP18A",88
"570","HAP18A",8
"571","HAP18B",88
"572","HAP18B",8
"573","HAP18C",88
"574","HAP18C",8
"575","HAP18D",8
"576","HAP18D",88
"577","HAP18E",88
"578","HAP18E",8
"579","HAP19A",8
"580","HAP19B",8
"581","HAP19C",8
"582","HAP1A",8
"583","HAP2",8
"584","HAP4",8
