codename_original,categories_num,categories_description,new_categories,new_categories_description,cycle_-1,cycle_1,cycle_2,cycle_3,cycle_4,cycle_5,cycle_6,cycle_7,cycle_8,cycle_9,cycle_10,new_codename,
HAC3FR,90,90 + years,90,90 + years,x,,,,,,,,,,,MCD180K,2
HAC3FR,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCD180K,2
MCQ180K,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCD180K,2
MCD180K,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCD180K,2
HAC3FR,777,Less than 1 year,16,16 years or younger,x,,,,,,,,,,,MCD180K,2
MCQ180K,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCD180K,2
MCD180K,77777,Refused,77777,Refused,,,,,,,,,,,x,MCD180K,2
MCQ180L,0-16,0-16 years old,16,16 years or younger,,x,x,x,x,,,,,,,MCD180L,2
MCQ180L,1-16,1-16 years old,16,16 years or younger,,,,,,x,x,x,x,x,,MCD180L,2
MCD180L,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCD180L,2
MCQ180L,17-78,17-78 years old,17-78,17-78 years old,,,,,,x,x,,,,,MCD180L,2
MCQ180L,17-79,17-79 years old,17-79,17-79 years old,,,,,,,,x,x,x,,MCD180L,2
MCQ180L,17-83,17-83 years old,17-83,17-83 years old,,x,x,x,x,,,,,,,MCD180L,2
MCQ180L,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCD180L,2
MCD180L,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCD180L,2
MCQ180L,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCD180L,2
MCQ180L,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCD180L,2
MCD180L,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCD180L,2
MCQ180L,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCD180L,2
MCD180L,77777,Refused,77777,Refused,,,,,,,,,,,x,MCD180L,2
MCQ180M,0-16,0-16 years old,16,16 years or younger,,,,x,x,x,x,,,,,MCD180M,2
HAC3JR,1-16,1-16 years old,16,16 years or younger,x,,,,,,,,,,,MCD180M,2
MCD180M,1-16,1-16 years old,16,16 years or younger,,,x,,,,,,,,,MCD180M,2
MCQ180M,1-16,1-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCD180M,2
MCD180M,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCD180M,2
MCQ180M,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,x,x,x,,MCD180M,2
HAC3JR,17-84,17-84 years old,17-84,17-84 years old,x,,,,,,,,,,,MCD180M,2
MCQ180I,17-84,17-84 years old,17-84,17-84 years old,,x,,,,,,,,,,MCD180M,2
MCD180M,17-84,17-84 years old,17-84,17-84 years old,,,x,,,,,,,,,MCD180M,2
MCQ180M,17-84,17-84 years old,17-84,17-84 years old,,,,x,x,,,,,,,MCD180M,2
HAC3KR,17-89,17-89 years old,17-89,17-89 years old,x,,,,,,,,,,,MCD180M,2
HAC3KR,3-16,3-16 years old,16,16 years or younger,x,,,,,,,,,,,MCD180M,2
MCQ180I,5-16,5-16 years old,16,16 years or younger,,x,,,,,,,,,,MCD180M,2
MCD180M,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCD180M,2
MCQ180M,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCD180M,2
MCQ180I,85,85 years or older,85,85 years or older,,x,,,,,,,,,,MCD180M,2
MCD180M,85,85 years or older,85,85 years or older,,,x,,,,,,,,,MCD180M,2
MCQ180M,85,85 years or older,85,85 years or older,,,,x,x,,,,,,,MCD180M,2
HAC3JR,90,90 + years,90,90 + years,x,,,,,,,,,,,MCD180M,2
HAC3JR,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCD180M,2
HAC3KR,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCD180M,2
MCQ180I,99999,Don't know,99999,Don't know,,x,,,,,,,,,,MCD180M,2
MCD180M,99999,Don't know,99999,Don't know,,,x,,,,,,,,x,MCD180M,2
MCQ180M,99999,Don't know,99999,Don't know,,,,x,x,x,x,x,x,x,,MCD180M,2
MCQ180I,77777,Refused,77777,Refused,,x,,,,,,,,,,MCD180M,2
MCD180M,77777,Refused,77777,Refused,,,x,,,,,,,,x,MCD180M,2
